,problem_id,solver,fitness_mean,fitness_std
0,1,HMSSolver,0.0,0.0
0,2,HMSSolver,1.1368683772161604e-14,2.273736754432321e-14
0,3,HMSSolver,12.040431594755955,3.9643348435993677
0,4,HMSSolver,15.377741507260177,2.74711902546165
0,5,HMSSolver,2.842170943040401e-14,0.0
0,6,HMSSolver,1.0658141036401503e-13,1.3074758644235623e-13
0,7,HMSSolver,0.33557947528939,0.46883123247981034
0,8,HMSSolver,0.3986579112347215,1.1959737337041454
0,9,HMSSolver,0.04578774006746471,0.13736322020239414
0,10,HMSSolver,5.684341886080802e-15,6.9618685722138544e-15
0,11,HMSSolver,0.09377011570394984,0.2813103471118353
0,12,HMSSolver,0.005057149631778657,0.015168159063028966
0,13,HMSSolver,3.448855849796928e-08,5.6538773474847754e-08
0,14,HMSSolver,1.0643219638950541e-11,6.483191008603949e-12
0,15,HMSSolver,9.153618287439194,2.3034930547626047
0,16,HMSSolver,0.3597983127682539,0.242967346625357
0,17,HMSSolver,0.009876999008334053,0.0142264074816074
0,18,HMSSolver,0.6054915273239537,0.7683828149408987
0,19,HMSSolver,1.5395554277685584,1.1063578593013537
0,20,HMSSolver,1.4944553736032873,0.15126784812497604
0,21,HMSSolver,1.512174797746934,1.3905076088466122
0,22,HMSSolver,1.831071464301818,0.9301647875574841
0,23,HMSSolver,1.2368005183895803,0.6525914973695525
0,24,HMSSolver,21.731550283008538,4.853723113181613
